departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Orlando Intl (KMCO),KMCO,10.304722222222223,-81.30899810791016,28.429399490356445,07FA,11.221388888888889,-80.274803161621,25.325399398804002
Richmond Executive-Chesterfield County (KFCI),KFCI,8.004722222222222,-77.52500153,37.40650177,07FA,11.12138888888889,-80.274803161621,25.325399398804002
Athens/Ben Epps (KAHN),KAHN,8.154722222222222,-83.32630157470703,33.94860076904297,07FA,9.954722222222221,-80.274803161621,25.325399398804002
New Castle (KILG),KILG,15.921388888888888,-75.60649872,39.67869949,07FA,18.088055555555556,-80.274803161621,25.325399398804002
Cleveland-Hopkins Intl (KCLE),KCLE,8.204722222222221,-81.8498001099,41.411701202399996,07FA,10.588055555555556,-80.274803161621,25.325399398804002
Charleston Intl/AFB (KCHS),KCHS,8.688055555555556,-80.04049683,32.89860153,07FA,10.52138888888889,-80.274803161621,25.325399398804002
Southwest Florida Intl (KRSW),KRSW,7.588055555555555,-81.75520324707031,26.53619956970215,07FA,8.154722222222222,-80.274803161621,25.325399398804002
Westchester County (KHPN),KHPN,15.52138888888889,-73.70760345458984,41.06700134277344,07FA,18.138055555555557,-80.274803161621,25.325399398804002
Austin-Bergstrom Intl (KAUS),KAUS,12.921388888888888,-97.6698989868164,30.194499969482425,07FA,16.204722222222223,-80.274803161621,25.325399398804002
Naples Muni (KAPF),KAPF,13.188055555555556,-81.7752990723,26.1525993347,07FA,14.254722222222222,-80.274803161621,25.325399398804002
Boca Raton (KBCT),KBCT,12.504722222222222,-80.1076965332,26.3784999847,07FA,12.888055555555555,-80.274803161621,25.325399398804002
Dekalb-Peachtree (KPDK),KPDK,8.538055555555555,-84.3020019531,33.8755989075,07FA,10.588055555555556,-80.274803161621,25.325399398804002
Palm Beach Intl (KPBI),KPBI,9.538055555555555,-80.09559631347656,26.68320083618164,07FA,9.971388888888889,-80.274803161621,25.325399398804002
North Palm Beach County General Aviation (F45),KF45,9.288055555555555,-80.22129822,26.84440041,07FA,9.87138888888889,-80.274803161621,25.325399398804002
Marco Island Executive (KMKY),KMKY,16.188055555555557,-81.672501,25.995001000000002,07FA,16.67138888888889,-80.274803161621,25.325399398804002
Fulton County (KFTY),KFTY,14.288055555555555,-84.5214004517,33.7790985107,07FA,15.87138888888889,-80.274803161621,25.325399398804002
Gainesville Rgnl (KGNV),KGNV,14.204722222222221,-82.27179718020001,29.6900997162,07FA,15.354722222222222,-80.274803161621,25.325399398804002
Wheeler Downtown (KMKC),KMKC,8.304722222222223,-94.5927963256836,39.12319946289063,07FA,12.12138888888889,-80.274803161621,25.325399398804002
Fort Lauderdale Executive (KFXE),KFXE,11.288055555555555,-80.1707000732,26.1972999573,07FA,11.688055555555556,-80.274803161621,25.325399398804002
Miami Executive (KTMB),KTMB,11.454722222222221,-80.4328,25.6479,07FA,11.654722222222222,-80.274803161621,25.325399398804002
Venice Muni (KVNC),KVNC,8.088055555555556,-82.440299987793,27.071599960327,07FA,8.654722222222222,-80.274803161621,25.325399398804002
