origin,longitude,latitude,departure,arrival
John F Kennedy Intl (KJFK),-73.77890015,40.63980103,16.5,17.433333333333334
Eppley Airfield (KOMA),-95.89409599999999,41.3032,16.283333333333335,17.433333333333334
Gerald R Ford Intl (KGRR),-85.52279663,42.88079834,17.9,17.416666666666668
Springfield (KSGF),-93.38860321,37.24570084,16.25,17.4
Central Wisconsin (KCWA),-89.6668014526,44.7775993347,16.583333333333332,17.4
Baltimore/Washington Intl (KBWI),-76.668297,39.1754,16.783333333333335,17.4
Clinton National (KLIT),-92.22429656979999,34.729400634799994,15.95,17.383333333333333
Syracuse Hancock Intl (KSYR),-76.1063003540039,43.11119842529297,16.833333333333332,17.366666666666667
Minneapolis/St Paul Intl (KMSP),-93.221802,44.882,16.4,17.366666666666667
Phoenix Sky Harbor Intl (KPHX),-112.01200103759766,33.43429946899414,13.366666666666667,17.35
Southwest Florida Intl (KRSW),-81.75520324707031,26.53619956970215,15.916666666666666,17.333333333333332
Decatur (KDEC),-88.8656997680664,39.83459854125977,16.166666666666668,17.333333333333332
Seattle-Tacoma Intl (KSEA),-122.308998,47.449001,12.133333333333333,17.333333333333332
Decatur (KDEC),-88.8656997680664,39.83459854125977,16.183333333333334,17.316666666666666
John F Kennedy Intl (KJFK),-73.77890015,40.63980103,16.4,17.3
Green Bay-Austin Straubel Intl (KGRB),-88.12960052490234,44.48509979248047,16.516666666666666,17.3
Memphis Intl (KMEM),-89.97669982910156,35.04240036010742,15.916666666666666,17.3
Des Moines Intl (KDSM),-93.66310119628906,41.53400039672852,16.333333333333332,17.283333333333335
Toledo Express (KTOL),-83.80780029,41.58679962,17.5,17.233333333333334
Seattle-Tacoma Intl (KSEA),-122.308998,47.449001,12.016666666666667,17.233333333333334
Birmingham-Shuttlesworth Intl (KBHM),-86.75350189,33.56290054,15.566666666666666,17.216666666666665
Bradley Intl (KBDL),-72.68319702149999,41.9388999939,16.233333333333334,17.216666666666665
Hartsfield-Jackson Intl (KATL),-84.428101,33.6367,16.683333333333334,17.166666666666668
El Paso Intl (KELP),-106.37799840000002,31.80719948,13.583333333333334,17.166666666666668
Jackson Hole (KJAC),-110.73799896240234,43.6072998046875,13.85,17.166666666666668
Charlotte/Douglas Intl (KCLT),-80.94309997558594,35.2140007019043,16.6,17.133333333333333
Manhattan Rgnl (KMHK),-96.6707992553711,39.14099884033203,15.8,17.116666666666667
Albuquerque Intl Sunport (KABQ),-106.609001,35.040199,13.666666666666666,17.083333333333332
Fort Lauderdale Intl (KFLL),-80.152702,26.072599,15.533333333333333,17.083333333333332
LaGuardia (KLGA),-73.87259674,40.77719879,16.283333333333335,17.066666666666666
Scranton Intl (KAVP),-75.72339630130001,41.338500976599995,16.35,17.066666666666666
St Louis Lambert Intl (KSTL),-90.370003,38.748697,16.25,17.05
Kalamazoo/Battle Creek Intl (KAZO),-85.5521011352539,42.234901428222656,17.533333333333335,17.05
Miami Intl (KMIA),-80.29060363769531,25.79319953918457,15.466666666666667,17.033333333333335
Milwaukee Mitchell Intl Airport (KMKE),-87.89659881591797,42.94720077514648,16.6,17.016666666666666
Colorado Sprgs Muni (KCOS),-104.70099599999999,38.805801,13.933333333333334,17.016666666666666
San Diego Intl (KSAN),-117.190002441,32.7336006165,11.333333333333334,16.983333333333334
Newark Liberty Intl (KEWR),-74.168701171875,40.69250106811523,16.25,16.983333333333334
John Glenn Columbus Intl Airport (KCMH),-82.891899,39.998001,17.15,16.983333333333334
Clinton National (KLIT),-92.22429656979999,34.729400634799994,15.433333333333334,16.966666666666665
Houston Bush Int'ctl (KIAH),-95.34140014648438,29.98439979553223,14.883333333333333,16.95
Charlotte/Douglas Intl (KCLT),-80.94309997558594,35.2140007019043,16.516666666666666,16.95
Duluth Intl (KDLH),-92.19360351559999,46.8420982361,15.733333333333333,16.933333333333334
General Humberto Delgado Airport (LIS / LPPT),-9.13592,38.7813,13.633333333333333,16.916666666666668
Albuquerque Intl Sunport (KABQ),-106.609001,35.040199,13.5,16.916666666666668
Minneapolis/St Paul Intl (KMSP),-93.221802,44.882,15.933333333333334,16.9
Dallas-Fort Worth Intl (KDFW),-97.038002,32.896801,15.05,16.883333333333333
Denver Intl (KDEN),-104.672996521,39.861698150635,13.933333333333334,16.883333333333333
Louisville Muhammad Ali Intl (KSDF),-85.736,38.1744,16.95,16.866666666666667
Indianapolis Intl (KIND),-86.294403,39.7173,17.216666666666665,16.85
New Orleans Intl (KMSY),-90.25800323486328,29.99340057373047,14.8,16.833333333333332
Cleveland-Hopkins Intl (KCLE),-81.8498001099,41.411701202399996,16.866666666666667,16.816666666666666
San Diego Intl (KSAN),-117.190002441,32.7336006165,11.233333333333333,16.816666666666666
Northwest Arkansas Rgnl (KXNA),-94.30680100000001,36.281898,15.416666666666666,16.8
El Paso Intl (KELP),-106.37799840000002,31.80719948,13.233333333333333,16.8
Sangster Int'l (MBJ / MKJS),-77.91339874267578,18.503700256347656,14.116666666666667,16.783333333333335
The Eastern Iowa (KCID),-91.71080017089844,41.88470077514648,16.016666666666666,16.766666666666666
University Park Airport (KUNV),-77.84870147710002,40.8493003845,16.366666666666667,16.75
Cherry Capital (KTVC),-85.58219909667969,44.74140167236328,16.983333333333334,16.733333333333334
Bismarck Muni (KBIS),-100.74600219726562,46.77270126342773,15.066666666666666,16.733333333333334
Austin-Bergstrom Intl (KAUS),-97.6698989868164,30.194499969482425,14.583333333333334,16.733333333333334
Montrose Rgnl (KMTJ),-107.89399719200001,38.5097999573,13.333333333333334,16.716666666666665
John Wayne (KSNA),-117.86799620000001,33.67570114,11.15,16.716666666666665
Hartsfield-Jackson Intl (KATL),-84.428101,33.6367,16.15,16.7
Des Moines Intl (KDSM),-93.66310119628906,41.53400039672852,15.75,16.7
Rochester Intl (KRST),-92.5,43.90829849243164,15.816666666666666,16.683333333333334
Quincy Rgnl-Baldwin Field (KUIN),-91.19460297,39.94269943,15.366666666666667,16.666666666666668
Dane Co Rgnl (KMSN),-89.3375015258789,43.13990020751953,16.15,16.666666666666668
Bozeman Yellowstone Intl (KBZN),-111.15299990000001,45.77750015,13.2,16.666666666666668
Columbia Rgnl (KCOU),-92.219597,38.8181,15.683333333333334,16.65
LaGuardia (KLGA),-73.87259674,40.77719879,15.8,16.65
Pensacola Intl (KPNS),-87.1866,30.4734,14.666666666666666,16.633333333333333
St Louis Lambert Intl (KSTL),-90.370003,38.748697,15.75,16.633333333333333
Bozeman Yellowstone Intl (KBZN),-111.15299990000001,45.77750015,13.133333333333333,16.633333333333333
Yampa Valley (KHDN),-107.21800230000001,40.48120117,13.333333333333334,16.6
Dublin Int'l (DUB / EIDW),-6.27007,53.421299,14.916666666666666,16.583333333333332
Reagan National (KDCA),-77.037697,38.8521,15.933333333333334,16.583333333333332
Eppley Airfield (KOMA),-95.89409599999999,41.3032,15.383333333333333,16.583333333333332
Kansas City Intl (KMCI),-94.713898,39.2976,15.5,16.55
Lincoln (KLNK),-96.75920104980469,40.85100173950195,15.266666666666667,16.533333333333335
Calgary Int'l (CYYC),-114.019996643,51.113899231000005,12.516666666666667,16.533333333333335
Akron-Canton Rgnl (KCAK),-81.44219970703125,40.916099548339844,16.5,16.533333333333335
John Glenn Columbus Intl Airport (KCMH),-82.891899,39.998001,16.633333333333333,16.516666666666666
San Antonio Intl (KSAT),-98.46980285644531,29.533700942993164,14.2,16.516666666666666
